date,day_of_week,first_name,position,start_time,end_time,total_hours,salary_per_hour
2/12/2024,Monday,Olivia,Barista,7:00:00,13:00:00,5,10
2/12/2024,Monday,Emma,Barista,7:00:00,13:00:00,5,10
2/12/2024,Monday,Emma,Barista,13:00:00,17:00:00,4,10
2/13/2024,Tuesday,Noah,Barista,7:00:00,13:00:00,5,10
2/13/2024,Tuesday,Liam,Barista,7:00:00,13:00:00,5,10
2/13/2024,Tuesday,Liam,Barista,13:00:00,17:00:00,4,10
2/14/2024,Wednesday,Olivia,Barista,7:00:00,13:00:00,5,10
2/14/2024,Wednesday,Emma,Barista,7:00:00,13:00:00,5,10
2/14/2024,Wednesday,Olivia,Barista,13:00:00,17:00:00,4,10
2/15/2024,Thursday,Noah,Barista,7:00:00,13:00:00,5,10
2/15/2024,Thursday,Liam,Barista,7:00:00,13:00:00,5,10
2/15/2024,Thursday,Noah,Barista,13:00:00,17:00:00,4,10
2/16/2024,Friday,Liam,Barista,7:00:00,13:00:00,5,10
2/16/2024,Friday,Emma,Barista,7:00:00,13:00:00,5,10
2/16/2024,Friday,Liam,Barista,13:00:00,17:00:00,4,10
2/17/2024,Saturday,Noah,Barista,7:00:00,13:00:00,5,10
2/17/2024,Saturday,Olivia,Barista,7:00:00,13:00:00,5,10
2/17/2024,Saturday,Noah,Barista,13:00:00,17:00:00,4,10
